Date|Code|Type|Sec. Num|Price|Local IS|Local CP|Local PF|Local IB|Local ID|Local MF|Local SC|Local FD|Local OT|Total|Foreign IS|Foreign CP|Foreign PF|Foreign IB|Foreign ID|Foreign MF|Foreign SC|Foreign FD|Foreign OT|Total
30-NOV-2022|AALI|EQUITY|1924688333|8325|66529971|20118324|8434787|49700|143484349|17812888|1271189|3778721|4783127|266263056|3306225|5242936|25037286|10390172|1254052|38039417|31621371|227997|9407081|124526537
30-NOV-2022|ABBA|EQUITY|3935892857|177|181790000|2361885564|6524300|0|878062980|0|531|0|0|3428263375|0|20400|0|40530585|7540000|0|1301900|0|0|49392885
30-NOV-2022|ABDA|EQUITY|620806680|6700|0|40248|0|98|393670|0|30506900|506484|0|31447400|588313138|0|0|3500|400|0|4400|0|0|588321438
30-NOV-2022|ABMM|EQUITY|2753165000|3670|2268000|1494192633|0|15000|322635000|0|112432|0|393000|1819616065|269600|710069536|15023162|18817157|521100|17818994|4538668|4429065|162061653|933548935
30-NOV-2022|ACES|EQUITY|17150000000|500|152303615|320390700|40778011|0|1959557991|242987437|7799251|11476100|13800|2735306905|10513500|157908249|1171042623|651736009|11282100|1250557707|198824942|128400|677699565|4129693095
30-NOV-2022|ACST|EQUITY|12675160000|177|0|11198278535|0|0|1429128014|29350000|1237|0|0|12656757786|0|120|0|8921144|4158135|0|5306795|0|16020|18402214
30-NOV-2022|ADCP|EQUITY|22222222200|73|2550000|455183200|3849100|0|1530569300|911000|1558700|200|220732300|2215353800|0|0|0|2580200|4288200|0|0|0|0|6868400
30-NOV-2022|ADES|EQUITY|589896800|7875|0|702800|58500|350|40052177|20000|411|0|0|40834238|0|540411613|159600|6769424|105500|87300|180000|0|326697|548040134
30-NOV-2022|ADHI|EQUITY|8407608979|520|85685706|180334273|100044304|3000000|2085295187|171243955|31552780|28987451|2740100|2688883756|0|24188236|63047307|20522112|5273625|102171998|90190634|0|4547519|309941431
30-NOV-2022|ADMF|EQUITY|1000000000|9050|4459700|640200|0|920700000|40743200|9838500|117944|0|0|976499544|22100|480231|668639|12340874|472700|1010766|4217431|103000|4084715|23400456
30-NOV-2022|ADMG|EQUITY|3889179559|155|1030000|994220200|2292400|0|504205287|83|450027|0|0|1502197997|0|1662400|0|3562747|2747700|0|4323896|0|43|12296786
30-NOV-2022|ADMR|EQUITY|40882331500|1630|673157400|34852078120|74989600|0|1739603300|523495702|136708|11798500|0|37875259330|30613300|1379322718|124831191|213717750|58389300|372644059|16012500|2000500|809540852|3007072170
30-NOV-2022|ADRO|EQUITY|31985962000|3870|1260298219|16810010080|81614400|7000|6329759541|844156503|114897788|18755500|871500|25460370531|55959261|812494678|1087016161|811419522|15036972|1578183972|350636066|74147800|1740697037|6525591469
30-NOV-2022|AGAR|EQUITY|1000000000|304|0|798974700|0|0|200989900|0|0|0|0|999964600|0|200|0|13000|22200|0|0|0|0|35400
30-NOV-2022|AGII|EQUITY|3066660000|2270|9956600|1596343326|7989000|0|271343191|76157578|724782|1293700|0|1963808177|0|2804700|82300|48128740|16402900|1722100|14045200|0|115113700|198299640
30-NOV-2022|AGRO|EQUITY|22746905982|476|31845422|52765627|801988773|19429762386|1819361567|106394820|3272|612800|13787946|22256522613|0|18690228|26873069|12942904|2221768|284298104|64258766|0|2035365|411320204
30-NOV-2022|AGRS|EQUITY|27649535711|100|0|361395972|0|20158930|1718727727|0|196|0|1709600|2101992425|0|0|0|3100614|17261444|0|7491843|0|6136453340|6164307241
30-NOV-2022|AHAP|EQUITY|4900000000|81|3066343009|178317981|0|0|1390798302|0|579705|0|442|4636039439|64086000|0|0|0|194260307|0|1273341|0|55|259619703
30-NOV-2022|AIMS|EQUITY|220000000|226|0|180441890|0|0|39377210|0|18000|0|0|219837100|0|0|0|100|2000|0|10800|0|0|12900
